continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.346296296,-0.391666667,1,0,0,continue_button,0.325,-0.402777778,1,0,0,continue_button_2,More than half,Less than half,All,Some,Half,None,Most,Few,Many,-0.400925926,0.021296296,1,0,0,QQQ8,1,0,16,11,1,15,ratio14_1_5_7.png,English,2020-07-02_03h00.57.165,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Half,Some,All,Few,Most,Many,None,More than half,-0.127777778,0,1,0,0,QQQ5,1,0,16,4,1,15,ratio34_3_7_3.png,English,2020-07-02_03h00.57.165,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Many,Half,None,Some,Few,All,Most,More than half,0.112037037,-0.302777778,1,0,0,QQQ6,1,0,16,1,1,15,ratio51_5_6_8.png,English,2020-07-02_03h00.57.165,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,All,Many,None,Half,Few,More than half,Some,Less than half,-0.391666667,-0.047222222,1,0,0,QQQ8,1,0,16,10,1,15,ratio15_2_12_4.png,English,2020-07-02_03h00.57.165,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Most,All,Many,More than half,Few,None,Less than half,Some,0.032407407,0.226851852,1,0,0,QQQ4,1,0,16,6,1,15,ratio31_12_16_7.png,English,2020-07-02_03h00.57.165,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,All,Less than half,Many,None,Few,Most,Some,Half,-0.471296296,-0.013888889,1,0,0,QQQ8,,,,,,,,English,2020-07-02_03h00.57.165,Experiment_English,3.2.4,Win32,60,b,12.64199996,1,0,340,175,1,339,ratio21_10_15_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,All,Half,Some,Less than half,More than half,Most,None,Many,-0.400925926,-0.026851852,1,0,0,QQQ8,,,,,,,,English,2020-07-02_03h00.57.165,Experiment_English,3.2.4,Win32,60,,,1,0,340,281,1,339,ratio43_4_7_4.png,,,,,,,,,,,,
,,,,,,,,,,,,None,More than half,Most,Few,All,Some,Less than half,Many,Half,0.027777778,0.255555556,1,0,0,QQQ4,,,,,,,,English,2020-07-02_03h00.57.165,Experiment_English,3.2.4,Win32,60,,,1,0,340,22,1,339,ratio11_3_6_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Less than half,All,Most,More than half,Few,None,Many,Half,0.507407407,0.253703704,1,0,0,QQQ1,,,,,,,,English,2020-07-02_03h00.57.165,Experiment_English,3.2.4,Win32,60,,,1,0,340,237,1,339,ratio32_12_20_5.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Half,None,Less than half,Some,More than half,Few,Many,All,-0.50462963,0.325,1,0,0,QQQ7,,,,,,,,English,2020-07-02_03h00.57.165,Experiment_English,3.2.4,Win32,60,,,1,0,340,83,1,339,ratio13_1_4_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Few,Less than half,Some,Half,None,All,Many,More than half,0.102777778,-0.309259259,1,0,0,QQQ6,,,,,,,,English,2020-07-02_03h00.57.165,Experiment_English,3.2.4,Win32,60,,,1,0,340,63,1,339,ratio0Y_0_6_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Most,Some,Half,More than half,All,Less than half,Few,None,-0.410185185,-0.02962963,1,0,0,QQQ8,,,,,,,,English,2020-07-02_03h00.57.165,Experiment_English,3.2.4,Win32,60,,,1,0,340,123,1,339,ratio15_1_6_12.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Half,Some,Many,Less than half,Few,All,More than half,Most,0.134259259,-0.27962963,1,0,0,QQQ6,,,,,,,,English,2020-07-02_03h00.57.165,Experiment_English,3.2.4,Win32,60,,,1,0,340,14,1,339,ratio12_5_15_4.png,,,,,,,,,,,,
