continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,trial_2.thisRepN,trial_2.thisTrialN,trial_2.thisN,trial_2.thisIndex,trial_2.ran,trial_2.order,continue_mouse_3.x,continue_mouse_3.y,continue_mouse_3.leftButton,continue_mouse_3.midButton,continue_mouse_3.rightButton,continue_mouse_3.clicked_name,insts.thisRepN,insts.thisTrialN,insts.thisN,insts.thisIndex,insts.ran,insts.order,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.288841146,-0.470056424,1,0,0,continue_button,0.335850694,-0.441106771,1,0,0,continue_button_2,More than half,Some,Most,Less than half,None,All,Few,Half,Many,0.511801215,-0.027057292,1,0,0,QQQ2,1,0,16,7,1,15,ratio23_2_5_8.png,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Most,None,Many,Half,Some,Less than half,All,Few,0.034283854,0.268971354,1,0,0,QQQ4,1,0,16,15,1,15,ratio0Y_0_14_10.png,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Some,More than half,Many,Most,Half,All,Less than half,None,-0.015985243,-0.034045139,1,0,0,QQQ5,1,0,16,6,1,15,ratio31_12_16_7.png,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Some,Few,More than half,Less than half,Most,Many,Half,All,-0.3990625,-0.02250434,1,0,0,QQQ8,1,0,16,14,1,15,ratio11_5_10_6.png,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,None,Some,Many,More than half,Half,Less than half,All,Few,0.504157986,0.314301215,1,0,0,QQQ1,1,0,16,0,1,15,ratio91_9_10_19.png,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,All,Many,Half,Few,None,Some,Less than half,More than half,Most,-0.004774306,0.268519965,1,0,0,QQQ4,,,,,,,ratio15_2_12_4.png,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,a,91.91199994,1,0,16,10,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,All,More than half,Few,None,Less than half,Half,Many,Some,-0.018190104,-0.362252604,1,0,0,QQQ6,,,,,,,ratio12_5_15_1.png,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,1,0,16,13,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Half,More than half,Some,Few,Less than half,None,All,Many,0.442152778,0.299835069,1,0,0,QQQ1,,,,,,,ratio51_5_6_8.png,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,1,0,16,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,More than half,Some,Many,Few,None,Less than half,All,Most,0.466032986,0.272521701,1,0,0,QQQ1,,,,,,,ratio32_6_10_2.png,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,1,0,16,5,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Some,All,Less than half,None,Most,Half,Many,More than half,0.433793403,0.070798611,1,0,0,QQQ2,,,,,,,ratio13_3_12_3.png,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,1,0,16,12,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,0.296297743,-0.403420139,1,0,0,continue_button_3,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,Most,Half,Few,Less than half,None,All,More than half,Many,-0.013220486,0.250186632,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,152,1,339,ratio19_2_20_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Few,More than half,None,Some,Many,Most,Less than half,All,0.421475694,-0.279014757,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,163,1,339,ratio21_4_6_1.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Many,More than half,Few,Some,Most,All,Half,Less than half,0.062738715,0.245868056,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,109,1,339,ratio14_2_10_9.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Few,More than half,Half,None,Some,Most,Less than half,Many,0.44406684,0.019457465,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,85,1,339,ratio13_2_8_5.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Less than half,None,Some,Few,More than half,Half,Most,Many,-0.420203993,-0.312773437,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,230,1,339,ratio32_9_15_1.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Less than half,Many,Few,Half,Some,More than half,None,Most,-0.036805556,0.255538194,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,142,1,339,ratio19_1_10_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Some,Most,Half,Many,All,Few,More than half,None,0.402513021,0.254144965,1,0,0,QQQ1,,,,,,,,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,183,1,339,ratio23_2_5_9.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Few,Some,None,Many,Half,All,Most,Less than half,0.468172743,-0.014188368,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,80,1,339,ratio13_1_4_3.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Less than half,Few,All,Many,Most,Some,None,Half,0.074023437,-0.038867187,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,37,1,339,ratio11_9_18_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Half,Few,None,Many,Some,Less than half,All,More than half,0.005564236,-0.005190972,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,258,1,339,ratio34_6_14_14.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Many,Less than half,All,Some,More than half,Half,None,Few,0.031892361,-0.333476563,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,285,1,339,ratio43_4_7_14.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Less than half,More than half,Most,Some,Few,Half,All,Many,0.006102431,-0.040138889,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,5,1,339,ratio12_2_6_9.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Many,Most,None,Few,Some,Half,All,Less than half,0.038051215,-0.046736111,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,132,1,339,ratio15_2_12_16.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,All,Some,Few,None,Many,More than half,Half,Most,0.413650174,0.285907118,1,0,0,QQQ1,,,,,,,,English,2020-07-02_11h01.41.311,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,10,1,339,ratio12_4_12_4.png,,,,,,,,,,,,
